,Action,Epsilon,Error,Max V,Mean V,Reward,State,Time
0,,0.01,4.0,4.0,1.0004,4.0,,0.0280001163482666
1,,0.01,3.5280000000000005,7.5280000000000005,1.0017876000000001,7.5280000000000005,,0.0559999942779541
2,,0.01,3.1116960000000007,10.726132,1.8671922784,10.726132,,0.0840001106262207
3,,0.01,2.744515872000001,13.555355152,1.9538768120911998,13.555355152,,0.11100006103515625
4,,0.01,2.420662999104001,16.126271924367998,2.7106352144305723,16.126271924367998,,0.14100003242492676
5,,0.01,2.135024765209731,18.40854538737645,2.8601256882327637,18.40854538737645,,0.16900014877319336
6,,0.01,1.8830918429149817,20.488249060881813,3.5290614946214554,20.488249060881813,,0.20099997520446777
7,,0.01,1.6608870054510136,22.3418156603114,3.723955220584418,22.3418156603114,,0.23399996757507324
8,,0.01,1.4649023388077946,24.03623573285175,4.3211634413577285,24.03623573285175,,0.26800012588500977
9,,0.01,1.292043862828475,25.553206974738128,4.548203832999109,25.553206974738128,,0.2969999313354492
10,,0.01,1.1395826870147143,26.944873567868882,5.086572239943235,26.944873567868882,,0.32700014114379883
11,,0.01,1.005111929946982,28.197027725809583,5.33547392500736,28.197027725809583,,0.3619999885559082
12,,0.01,0.8865087222132404,29.350263073740365,5.825099519827993,29.350263073740365,,0.39300012588500977
13,,0.01,0.7819006929920755,30.393555859935635,6.0881118080287555,30.393555859935635,,0.4240000247955322
14,,0.01,0.6896364112190128,31.358513089472083,6.536945147408896,31.358513089472083,,0.45399999618530273
15,,0.01,0.6082593146951716,32.23658680611834,6.8081426121822,32.23658680611834,,0.4850001335144043
16,,0.01,0.5364847155611443,33.052391988801574,7.222523106446817,33.052391988801574,,0.5150001049041748
17,,0.01,0.4731795191249306,33.799305565706156,7.497416454048331,33.799305565706156,,0.5429999828338623
18,,0.01,0.4173443358681874,34.49650217641696,7.8823863326854715,34.49650217641696,,0.5729999542236328
19,,0.01,0.3680977042357396,35.138855109998474,8.157617020947471,35.138855109998474,,0.6010000705718994
20,,0.01,0.32466217513592444,35.74130580364702,8.51718794137684,35.74130580364702,,0.628000020980835
21,,0.01,0.28635203846988766,36.29989059025928,8.790232977191236,36.29989059025928,,0.6560001373291016
22,,0.01,0.2525624979304464,36.82625680631176,9.127695072916644,36.82625680631176,,0.6840000152587891
23,,0.01,0.22276012317465188,37.31734457324601,9.396657583027299,37.31734457324601,,0.7120001316070557
24,,0.01,0.19647442864004105,37.78223771578824,9.7146066588633,37.78223771578824,,0.7400000095367432
25,,0.01,0.17329044606051447,38.2185785014729,9.978185534347933,38.2185785014729,,0.7680001258850098
26,,0.01,0.15284217342537332,38.63345562365841,10.278767279245955,38.63345562365841,,0.7980000972747803
27,,0.01,0.13480679696117903,39.02505667040453,10.535972689761632,39.02505667040453,,0.8270001411437988
28,,0.01,0.11889959491976043,39.398917396639085,10.820920298915185,39.398917396639085,,0.8540000915527344
29,,0.01,0.10486944271923093,39.753648748046814,11.071102059403978,39.753648748046814,,0.8819999694824219
30,,0.01,0.09249484847836342,40.09357756838652,11.341871515794088,40.09357756838652,,0.9100000858306885
31,,0.01,0.08158045635791922,40.41764331716855,11.584621944701375,40.41764331716855,,0.937000036239624
32,,0.01,0.07195396250768482,40.729231587432636,11.842413834896593,40.729231587432636,,0.9660000801086426
33,,0.01,0.06346339493178199,41.027536603965686,12.077461712531406,41.027536603965686,,0.9950001239776611
34,,0.01,0.055974714329833475,41.3152109606406,12.323286574037624,41.3152109606406,,1.0230000019073486
35,,0.01,0.049369698038912446,41.59164630817769,12.550512675054426,41.59164630817769,,1.0499999523162842
36,,0.01,0.04354407367032209,41.85892427595817,12.7852349161553,41.85892427595817,,1.0780000686645508
37,,0.01,0.03840587297722209,42.11658936516334,13.004618951470443,42.11658936516334,,1.1059999465942383
38,,0.01,0.03387397996590913,42.36627832092059,13.22898202610619,42.36627832092059,,1.1349999904632568
39,,0.01,0.029876850329934257,42.60765384752604,13.440577802145283,42.60765384752604,,1.1630001068115234
40,,0.01,0.026351381991004175,42.84200591510013,13.655228258973809,42.84200591510013,,1.190999984741211
41,,0.01,0.023241918916069082,43.06908850588762,13.859144467081723,43.06908850588762,,1.2190001010894775
42,,0.01,0.020499372483969935,43.28992116381904,14.064650769175495,43.28992116381904,,1.248000144958496
43,,0.01,0.018080446530865046,43.50432823008839,14.261036150365221,43.50432823008839,,1.2750000953674316
44,,0.01,0.015946953840222378,43.71311824221234,14.457903422450533,43.71311824221234,,1.3040001392364502
45,,0.01,0.014065213287079104,43.91616965261748,14.646935331511777,43.91616965261748,,1.3320000171661377
46,,0.01,0.01240551811920021,44.114126241637905,14.835616934910387,44.114126241637905,,1.3600001335144043
47,,0.01,0.01094166698113419,44.306907958102244,15.017492544811288,44.306907958102244,,1.3880000114440918
48,,0.01,0.009650550277358505,44.495029827714184,15.198399180508359,44.495029827714184,,1.4170000553131104
49,,0.01,0.008511785344634148,44.6784435060067,15.373328736758625,44.6784435060067,,1.446000099182129
50,,0.01,0.007507394673968548,44.85756329451054,15.546835621634472,44.85756329451054,,1.4730000495910645
51,,0.01,0.00662152210244038,45.03236496256626,15.7150374073646,45.03236496256626,,1.500999927520752
52,,0.01,0.00584018249435303,45.20318391538633,15.881490823770143,45.20318391538633,,1.5290000438690186
53,,0.01,0.005151040960020836,45.37001415126556,16.04318778978067,45.37001415126556,,1.556999921798706
54,,0.01,0.004543218126737969,45.53312918091664,16.202906763882005,45.53312918091664,,1.5850000381469727
55,,0.01,0.004007118387786335,45.69253667459827,16.358320963734307,45.69253667459827,,1.6119999885559082
56,,0.01,0.0035342784180265596,45.84846149520477,16.511603911223332,45.84846149520477,,1.6400001049041748
57,,0.01,0.003117233564701394,46.00092146011418,16.660957397023843,46.00092146011418,,1.6679999828338623
58,,0.01,0.0027494000040704236,46.150103109058385,16.808083869465026,46.150103109058385,,1.696000099182129
59,,0.01,0.0024249708035917195,46.296031683823315,16.95159583957564,46.296031683823315,,1.7230000495910645
60,,0.01,0.0021388242487709874,46.43886345173888,17.092828836365264,46.43886345173888,,1.750999927520752
61,,0.01,0.0018864429874199118,46.578628979519756,17.23071442938705,46.578628979519756,,1.7799999713897705
62,,0.01,0.0016638427149047175,46.71546054318544,17.36630227062335,46.71546054318544,,1.808000087738037
63,,0.01,0.001467509274551304,46.84939241899176,17.49877170006213,46.84939241899176,,1.8370001316070557
64,,0.01,0.0012943431801559768,46.98053779535027,17.62894955489348,46.98053779535027,,1.8640000820159912
65,,0.01,0.0011416106849004848,47.10893341854997,17.756207505965147,47.10893341854997,,1.8919999599456787
66,,0.01,0.0010069006240804868,47.234677220900316,17.881198650099012,47.234677220900316,,1.9200000762939453
67,,0.01,0.0008880863504430181,47.357807470942504,18.00344387768868,47.357807470942504,,1.9479999542236328
68,,0.01,0.0007832921610955168,47.478409841637095,18.123460737492866,47.478409841637095,,1.9760000705718994
69,,0.01,0.0006908636860849526,47.596523402286,18.24088581793542,47.596523402286,,2.009000062942505
70,,0.01,0.0006093417711312554,47.71222391324101,18.35613084591652,47.71222391324101,,2.0399999618530273
71,,0.01,0.0005374394421409079,47.82555069848334,18.468922045882795,47.82555069848334,,2.069999933242798
72,,0.01,0.0004740215879692755,47.936571446221826,18.57958846248431,47.936571446221826,,2.0989999771118164
73,,0.01,0.0004180870405967596,48.04532532488994,18.687925696512124,48.04532532488994,,2.128000020980835
74,,0.01,0.0003687527698126303,48.1518733965872,18.794198125513976,48.1518733965872,,2.1560001373291016
75,,0.01,0.0003252399429740649,48.256254369079066,18.898254980140692,48.256254369079066,,2.184000015258789
76,,0.01,0.0002868616297000415,48.3585238169853,19.000309998978743,48.3585238169853,,2.2120001316070557
77,,0.01,0.0002530119573975753,48.4587197634937,19.100253806421005,48.4587197634937,,2.240000009536743
78,,0.01,0.0002231565464221319,48.55689319469306,19.198260428101932,48.55689319469306,,2.2680001258850098
